,,,,
1060,貉,"1.ㄏㄜˊ
2.ㄇㄛˋ","1.貉絨、一丘之貉
2.「貊」之異體字。",ㄏㄠˊ併讀為ㄏㄜˊ。
1061,責,ㄗㄜˊ,職責、責備、責難、責任,
1062,賁,"1.ㄅㄣ
2.ㄅ丨ˋ","1.賁門、賁士、虎賁、血脈賁
張
2.賁臨、賁卦（《易經》卦名
）、賁然",
1063,費,ㄈㄟˋ,費率、費心、花費、經費,
1064,貿,ㄇㄠˋ,貿然、貿易、外貿、,ㄇㄡˋ併讀為ㄇㄠˋ。
1065,貸,ㄉㄞˋ,貸款、責無旁貸、嚴懲不貸,
1066,賊,ㄗㄟˊ,竊賊、賊頭賊腦、賊害,ㄗㄜˊ併讀為ㄗㄟˊ。
1067,賈,"1.ㄍㄨˇ
2.ㄐ丨ㄚˇ","1.賈利、賈禍、商賈
2.姓（如漢代有賈誼）。",
1068,賄,ㄏㄨㄟˋ,行賄、賄賂,ㄏㄨㄟˇ併讀為ㄏㄨㄟˋ。
1069,賃,ㄌ丨ㄣˋ,賃金、租賃,ㄖㄣˋ併讀為ㄌ丨ㄣˋ。
流水號,國字,審定音,詞語例或說明,備注
,,,,
1070,賓,ㄅ丨ㄣ,賓白、賓果、來賓,
1071,賢,ㄒ丨ㄢˊ,"賢明、賢伉儷、賢慧、賢賢易
色、聖賢",
1072,賜,ㄙˋ,賞賜、賜教,ㄘˋ併讀為ㄙˋ。
1073,質,"1.ㄓˊ
2.ㄓˋ","1.性質、質樸、質問、物質
2.典質、人質",
1074,賺,ㄓㄨㄢˋ,淨賺、賺錢、賺取,
1075,贛,ㄍㄢˋ,"贛江（河川名）、贛縣（縣名
）",
1076,赳,ㄐ丨ㄡ,赳赳,ㄐ丨ㄡˇ併讀為ㄐ丨ㄡ。
1077,趣,ㄑㄩˋ,趣味、興趣、旨趣、有趣,
1078,趨,ㄑㄩ,趨前、趨勢、趨炎附勢,
1079,足,"1.ㄗㄨˊ
2.ㄐㄩˋ（限讀）","1.手足、微不足道
2.足恭",
1080,跑,"1.ㄆㄠˊ
2.ㄆㄠˇ","1.虎跑泉（地名）、「（馬）
以足跑地久之。」（《西京
雜記》）
2.跑步、跑新聞、逃跑、賽跑",
1081,跛,ㄅㄛˇ,跛腳、跛子,
1082,踅,ㄒㄩㄝˊ,打踅、踅來踅去,
1083,踝,ㄏㄨㄞˊ,踝骨、腳踝,ㄏㄨㄚˋ併讀為ㄏㄨㄞˊ。
1084,踹,ㄔㄨㄞˋ,把門踹開、踹踏、踹落,
1085,蹣,ㄇㄢˊ,蹣跼、蹣跚,ㄆㄢˊ併讀為ㄇㄢˊ。
1086,蹲,ㄉㄨㄣ,半蹲、蹲坐,
流水號,國字,審定音,詞語例或說明,備注
,,,,
1087,蹶,ㄐㄩㄝˊ,蹶然、一蹶不振,ㄐㄩㄝˇ併讀為ㄐㄩㄝˊ。
1088,躂,"1.ㄊㄚˋ
2.ㄉㄚ（限讀）","1.踢躂
2.蹓躂（亦作「遛達」）","「蹓躂」口語變讀作ㄌ丨ㄡˋ
˙ㄉㄚ。"
1089,躍,ㄩㄝˋ,"跳躍、活躍、雀躍、躍變、躍
居",丨ㄠˋ併讀為ㄩㄝˋ。
1090,身,"1.ㄕㄣ
2.ㄐㄩㄢ（限讀）","1.本身、大顯身手、身體、腰
身
2.身毒（古國名）",
1091,車,"1.ㄔㄜ
2.ㄐㄩ（限讀）","1.閉門造車、輔車相依、汽車
、學富五車、車裂、車衣服
、安步當車；姓（如漢代有
車順）。
2.車馬炮","象棋子名及其相關詞語，音ㄐㄩ，
其餘皆讀為ㄔㄜ。"
1092,軋,"1.ㄍㄚˊ
2.丨ㄚˋ","1.牛軋糖、軋頭寸
2.傾軋、軋路機、軋軋",
1093,軸,ㄓㄡˊ,卷軸、軸心、主軸、車軸,ㄓㄨˊ、ㄓㄡˋ併讀為ㄓㄡˊ。
1094,較,ㄐ丨ㄠˋ,比較、計較、較量、較好,ㄐ丨ㄠˇ併讀為ㄐ丨ㄠˋ。
1095,載,"1.ㄗㄞˇ
2.ㄗㄞˋ","1.千載難逢、一年半載
2.刊載、記載、下載、載歌載
舞、載客、載記、載重量、
文以載道",
1096,輾,"1.ㄋ丨ㄢˇ
2.ㄓㄢˇ","1.輾斃、輾傷
2.輾轉、輾轉反側",
1097,轂,"1.ㄍㄨ
2.ㄍㄨˇ","1.轂轆
2.推轂、輦轂、轂擊肩摩",
1098,轉,"1.ㄓㄨㄢˇ
2.ㄓㄨㄢˋ","1.流轉、起承轉合、旋轉、轉
交、轉學、轉彎、轉運、「
這話轉得太硬。」、「颱風
轉向了。」
2.地球自轉、團團轉、公轉、
轉圈兒、暈頭轉向","改變方向的活動，音ㄓㄨㄢˇ；
繞著軸心及回到原點的運動，音
ㄓㄨㄢˋ。"
1099,轍,"1.ㄓㄜˊ
2.ㄔㄜˋ","1.合轍、「沒轍了！」
2.車轍、如出一轍",
流水號,國字,審定音,詞語例或說明,備注
,,,,
1100,辟,"1.ㄅ丨ˋ
2.ㄆ丨ˋ","1.鞭辟入裡、辟召、復辟
2.辟匿、大辟、辟除",
1101,辱,ㄖㄨˋ,奇恥大辱、羞辱,ㄖㄨˇ併讀為ㄖㄨˋ。
1102,迆,丨ˊ,逶迆,
1103,迎,丨ㄥˊ,逢迎、迎風、迎接,丨ㄥˋ併讀為丨ㄥˊ。
1104,追,"1.ㄉㄨㄟ
2.ㄓㄨㄟ","1.追蠡（古官名）、「追琢其
章，金玉其相。」（《詩經
》）
2.追兵、追究、追逐、追憶、
追問",
1105,逅,ㄏㄡˋ,邂逅、邂逅之緣,ㄍㄡˋ併讀為ㄏㄡˋ。
1106,迸,ㄅㄥˋ,迸裂、迸出、火光迸濺,
1107,這,ㄓㄜˋ,"這裡、這時候、「這就回來。
」",
1108,造,ㄗㄠˋ,可造之才、建造、創造,
1109,逢,"1.ㄆㄥˊ
2.ㄈㄥˊ","1.逢逢；姓（如夏朝有逢蒙）
。
2.逢場作戲、逢迎、相逢",
1110,逮,"1.ㄉㄞˇ
2.ㄉㄞˋ","1.貓逮老鼠、逮捕、逮住
2.力有未逮","捉捕義，音ㄉㄞˇ；及、至義，
音ㄉㄞˋ。"
1111,遂,ㄙㄨㄟˋ,毛遂自薦、順遂,ㄙㄨㄟˊ併讀為ㄙㄨㄟˋ。
1112,達,ㄉㄚˊ,表達、到達、四通八達,
1113,逼,ㄅ丨,逼迫、逼近,ㄅ丨ˋ併讀為ㄅ丨。
1114,過,"1.ㄍㄨㄛ
2.ㄍㄨㄛˋ","1.姓（如漢代有過晏）。
2.過訪、過度、過錯、經過、
才智過人",
流水號,國字,審定音,詞語例或說明,備注
,,,,
1115,遍,ㄅ丨ㄢˋ,遍布、遍地、普遍,ㄆ丨ㄢˋ併讀為ㄅ丨ㄢˋ。
1116,遠,"1.ㄩㄢˇ
2.ㄩㄢˋ","1.遠見、遠行、遙遠
2.敬而遠之、「君子遠庖廚。
」（《孟子》）","作動詞時，音ㄩㄢˋ，多見於文
言。"
1117,遜,ㄒㄩㄣˋ,略遜一籌、謙遜、遜色,ㄙㄨㄣˋ併讀為ㄒㄩㄣˋ。
1118,遛,ㄌ丨ㄡˋ,遛達（亦作「蹓躂」）、遛狗,"「遛達」口語變讀作ㄌ丨ㄡˋ
˙ㄉㄚ。"
1119,適,"1.ㄉ丨ˊ
2.ㄕˋ","1.適孫、「無適也，無莫也。
」（《論語》）
2.合適、舒適",
1120,遮,ㄓㄜ,遮路、遮蓋、遮住,
1121,遴,ㄌ丨ㄣˊ,遴派、遴選,
1122,遲,ㄔˊ,美人遲暮、遲鈍、遲緩、延遲,
1123,遺,"1.丨ˊ
2.ㄨㄟˋ","1.遺漏、遺傳、遺贈、遺言、
遺忘
2.「遺我雙鯉魚。」（《文選
．古樂府．飲馬長城窟》）",
1124,避,ㄅ丨ˋ,避免、避難、避暑勝地,ㄅㄟˋ併讀為ㄅ丨ˋ。
1125,還,"1.ㄏㄞˊ
2.ㄏㄨㄢˊ","1.還可以、還是、還早
2.還債、還原、乍暖還寒、償
還",
1126,邪,"1.ㄒ丨ㄝˊ
2.丨ㄝˊ","1.改邪歸正、邪惡
2.琅邪（地名）、「儻所謂天
道，是邪？非邪？」（《史
記》）",ㄒ丨ㄚˊ併讀為ㄒ丨ㄝˊ。
1127,那,"1.ㄋㄚ
2.ㄋㄚˇ
3.ㄋㄚˋ
4.ㄋㄨㄛˊ","1.姓（如明代有那鑒）。
2.那怕、那得、那能、那堪
3.那麼、那個、剎（ㄔㄚˋ）
那
4.「受福不那。」（《詩經》",ㄋㄜˋ併讀為ㄋㄚˋ。
流水號,國字,審定音,詞語例或說明,備注
,,,,
,,,"）、「有那其居。」（《詩
經》）；《詩經》篇名。",
1128,郝,ㄏㄠˇ,姓（如漢代有郝賢）；地名。,ㄏㄜˋ併讀為ㄏㄠˇ。
1129,都,"1.ㄉㄡ
2.ㄉㄨ","1.大都如此、都好、都是
2.都會區、都市、首都",
1130,鄉,ㄒ丨ㄤ,"同鄉、家鄉、鄉土文學、鄉親
、鄉下、鄉鎮",
1131,鄙,ㄅ丨ˇ,卑鄙、鄙視,ㄅ丨ˋ併讀為ㄅ丨ˇ。
1132,酊,"1.ㄉ丨ㄥ
2.ㄉ丨ㄥˇ","1.碘酊、酊劑
2.酩酊",
1133,酢,"1.ㄗㄨㄛˋ
2.ㄘㄨˋ","1.酬酢
2.酢漿草",
1134,酪,ㄌㄨㄛˋ,奶酪、酪梨、乳酪,ㄌㄠˋ併讀為ㄌㄨㄛˋ。
1135,酩,ㄇ丨ㄥˊ,酩酊（ㄉ丨ㄥˇ）,ㄇ丨ㄥˇ併讀為ㄇ丨ㄥˊ。
1136,酵,ㄒ丨ㄠˋ,發酵、酵母菌、酵素,ㄐ丨ㄠˋ併讀為ㄒ丨ㄠˋ。
1137,醋,ㄘㄨˋ,加油添醋、吃醋、醋意,
1138,醒,ㄒ丨ㄥˇ,提醒、清醒,ㄒ丨ㄥ併讀為ㄒ丨ㄥˇ。
1139,釃,ㄙ,「釃，下酒也。」（《說文》）,ㄕ併讀為ㄙ。
1140,采,ㄘㄞˇ,沒精打采、喝采、精采,
1141,重,"1.ㄓㄨㄥˋ
2.ㄔㄨㄥˊ","1.體重、口味重、庫房重地、
敬重、慎重、重罰、重用
2.重複、重來、萬重山",
1142,量,"1.ㄌ丨ㄤˊ
2.ㄌ丨ㄤˋ","1.評量、考量、量表、量體重
、量尺、測量、思量
2.度量衡、量力而為、較量、
重量、容量","商酌、斟酌及以工具計算物體性
質義，音ㄌ丨ㄤˊ；名詞及大約
估算義，音ㄌ丨ㄤˋ。"
流水號,國字,審定音,詞語例或說明,備注
,,,,
1143,釐,"1.ㄌ丨ˊ
2.ㄒ丨","1.公釐、釐清、「釐爾圭瓚。
」（《詩經》）
2.祝釐、春釐",ㄒ丨音，通「禧」。
1144,釘,"1.ㄉ丨ㄥ
2.ㄉ丨ㄥˋ","1.補釘、鐵釘
2.釘門牌、釘扣子、釘書機",
1145,鈔,ㄔㄠ,紙鈔、整鈔、偽鈔,ㄔㄠˋ併讀為ㄔㄠ。
1146,鈷,"1.ㄍㄨˇ
2.ㄍㄨ（限讀）","1.鈷鉧（熨斗）、鈷鉧潭記（
唐．柳宗元〈永州八記〉之
一）
2.化學元素。",
1147,鈸,ㄅㄚˊ,門鈸、鼓鈸,ㄅㄛˊ併讀為ㄅㄚˊ。
1148,鈾,丨ㄡˋ,天然鈾、鈾礦,丨ㄡˊ併讀為丨ㄡˋ。
1149,鉛,"1.ㄑ丨ㄢ
2.丨ㄢˊ","1.鉛筆、鉛球；化學元素。
2.鉛山（地名）、「越月踰時
，則必反鉛過故鄉。」（《
荀子》）",
1150,銻,"1.ㄊ丨ˊ
2.ㄊ丨ˋ（限讀）","1.鎕銻
2.化學元素。",
1151,鋪,"1.ㄆㄨ
2.ㄆㄨˋ","1.鋪蓋、鋪張、鋪陳、鋪床
2.當鋪、店鋪、床鋪",
1152,鋸,ㄐㄩˋ,鋸斷、鋸子,
1153,錯,ㄘㄨㄛˋ,"不錯、認錯、「舉直錯諸枉。
」（《論語》）",ㄘㄨˋ併讀為ㄘㄨㄛˋ。
1154,錢,ㄑ丨ㄢˊ,"錢幣、金錢、錢包；姓（如清
代有錢大昕）。",
1155,鋼,"1.ㄍㄤ
2.ㄍㄤˋ","1.不鏽鋼、鋼筆、鋼鐵廠
2.「這刀鈍了，得鋼一鋼。」",
1156,鏑,"1.ㄉ丨ˊ
2.ㄉ丨（限讀）","1.鳴鏑、鏑鋒
2.化學元素。",
1157,鏃,ㄗㄨˊ,飛鏃、箭鏃,ㄘㄨˋ併讀為ㄗㄨˊ。
流水號,國字,審定音,詞語例或說明,備注
,,,,
1158,鏜,ㄊㄤ,"「擊鼓其鏜，踊躍用兵。」（
詩經》）",
1159,鎩,ㄕㄚ,鎩羽而歸,ㄕㄞˋ併讀為ㄕㄚ。
1160,鐐,ㄌ丨ㄠˊ,鐵鐐、腳鐐,ㄌ丨ㄠˋ併讀為ㄌ丨ㄠˊ。
1161,鐺,"1.ㄉㄤ
2.ㄔㄥ","1.鋃鐺、鈴鐺
2.酒鐺、茶鐺",
1162,鑲,ㄒ丨ㄤ,鑲邊、鑲嵌,
1163,鑰,丨ㄠˋ,市鑰、鑰匙,ㄩㄝˋ併讀為丨ㄠˋ。
1164,鑽,"1.ㄗㄨㄢ
2.ㄗㄨㄢˋ","1.鑽木取火、鑽洞、鑽研
2.鑽戒、鑽子",ㄗㄨㄢˇ併讀為ㄗㄨㄢ。
1165,鑿,ㄗㄠˊ,開鑿、穿鑿附會,ㄗㄨㄛˋ併讀為ㄗㄠˊ。
1166,長,"1.ㄓㄤˇ
2.ㄓㄤˋ
3.ㄔㄤˊ","1.首長、生長、尊長
2.身無長物
3.專長、長短、長久、長生不
老、冗長",
1167,間,"1.ㄐ丨ㄢ
2.ㄐ丨ㄢˋ","1.房間、隔間、時間
2.離間、間不容髮、間諜、間
斷、間或、間隙",
1168,閒,ㄒ丨ㄢˊ,忙裡偷閒、等閒、閒逛,
1169,閩,ㄇ丨ㄣˇ,閩南、閩語,ㄇ丨ㄣˊ併讀為ㄇ丨ㄣˇ。
1170,閤,"1.ㄍㄜˊ
2.ㄏㄜˊ","1.閉閤思過、賓客常滿閤、閨
閤
2.閤第光臨、閤家",
1171,闖,ㄔㄨㄤˇ,闖蕩、闖關、私闖,ㄔㄨㄤˋ併讀為ㄔㄨㄤˇ。
1172,闕,"1.ㄑㄩㄝ
2.ㄑㄩㄝˋ","1.付之闕如、闕文
2.宮闕、城闕；姓（如漢代有
闕翊）。",
流水號,國字,審定音,詞語例或說明,備注
,,,,
1173,阿,"1.ㄜ
2.ㄚ","1.山阿、阿彌陀佛、阿房宮、
阿膠、阿諛；姓（如唐代有
阿光進）。
2.阿伯、阿斗",ㄚˋ併讀為ㄚ。
1174,降,"1.ㄐ丨ㄤˋ
2.ㄒ丨ㄤˊ","1.降落傘、降雨、霜降
2.投降、降服、降龍伏虎",
1175,陳,ㄔㄣˊ,"陳列、陳舊、陳設、陳述；姓
（如漢代有陳平）。",
1176,陸,"1.ㄌ丨ㄡˋ
2.ㄌㄨˋ","1.數目字「六」的大寫。
2.登陸、陸地、陸軍、陸續、
光怪陸離；姓（如宋代有陸
九淵）。",
1177,陰,丨ㄣ,"陰天、陰離子、陰間、陰性；
姓（如隋代有陰世師）。",
1178,陶,"1.ㄊㄠˊ
2.丨ㄠˊ（限讀）","1.陶陶、陶器、陶醉、陶冶；
姓（如晉代有陶潛）。
2.皋陶（人名）",
1179,隘,ㄞˋ,邊隘、狹隘、山隘、要隘,
1180,隕,ㄩㄣˇ,隕落、隕石、隕越,
1181,隱,丨ㄣˇ,退隱、惻隱之心、隱蔽、隱情,
1182,雀,ㄑㄩㄝˋ,麻雀、雀斑、雀屏中選,ㄑ丨ㄠˇ、ㄑ丨ㄠ併讀為ㄑㄩㄝˋ。
1183,雅,"1.丨ㄚ
2.丨ㄚˇ","1.「鴉」之本字。
2.素雅、雅量、雅士、雅言、
文雅",
1184,雋,"1.ㄐㄩㄢˋ
2.ㄐㄩㄣˋ","1.雋語、雋永
2.雋秀、雋才",
1185,雌,ㄘ,雌黃、雌雄,ㄘˊ併讀為ㄘ。
1186,雖,ㄙㄨㄟ,"雖然、「麻雀雖小，五臟俱全
。」",ㄙㄨㄟˊ併讀為ㄙㄨㄟ。
1187,雙,ㄕㄨㄤ,雙倍、雙數、一雙鞋子,ㄕㄨㄤˋ併讀為ㄕㄨㄤ。
流水號,國字,審定音,詞語例或說明,備注
,,,,
1188,難,"1.ㄋㄢˊ
2.ㄋㄢˋ
3.ㄋㄨㄛˊ","1.難題、難堪、克難、進退兩
難、疑難、為難
2.災難、問難
3.「隰桑有阿，其葉有難。」
（《詩經》）",
1189,雨,"1.ㄩˇ
2.ㄩˋ","1.冬雨、下雨
2.春雨（ㄩˇ）雨人、「雨我
公田，遂及我私。」（《詩
經》）",作動詞時，音ㄩˋ。
1190,雪,ㄒㄩㄝˇ,白雪、雪白、雪恥,ㄒㄩㄝˋ併讀為ㄒㄩㄝˇ。
1191,雩,ㄩˊ,舞雩、雩祀,
1192,雹,ㄅㄠˊ,冰雹、雷霆電雹,ㄅㄛˊ併讀為ㄅㄠˊ。
1193,零,ㄌ丨ㄥˊ,"飄零、零碼、零件、零食、歸
零",
1194,需,ㄒㄩ,必需、需求、需要,
1195,霸,"1.ㄅㄚˋ
2.ㄆㄛˋ","1.春秋五霸、霸占、霸王
2.哉生霸（月相名）、哉死霸
（月相名）",
1196,露,"1.ㄌㄡˋ
2.ㄌㄨˋ","1.露了口風、露出馬腳、衣角
外露
2.暴露、瑪麗蓮夢露（人名）
、玫瑰露、透露、顯露","口語單用為動詞時，音ㄌㄡˋ；
複詞用法及液體義，音ㄌㄨˋ。"
1197,青,ㄑ丨ㄥ,"名垂青史、踏青、青天、青年
、青春",
1198,非,ㄈㄟ,非法、答非所問、是非,
1199,靡,ㄇ丨ˇ,靡靡之音、靡麗、所向披靡,
1200,靦,"1.ㄇ丨ㄢˇ
2.ㄊ丨ㄢˇ","1.靦腆（ㄊ丨ㄢˇ）
2.靦臉、靦顏",
1201,革,ㄍㄜˊ,"皮革、革命、革除；姓（如漢
代有革鑒）。",
流水號,國字,審定音,詞語例或說明,備注
,,,,
1202,靶,"1.ㄅㄚˇ
2.ㄅㄚˋ","1.打靶、箭靶
2.刀子靶、話靶",用同「把」時，音ㄅㄚˋ。
1203,鞅,丨ㄤ,商鞅（人名）、鞅鞅,丨ㄤˇ併讀為丨ㄤ。
1204,鞘,ㄑ丨ㄠˋ,劍鞘、葉鞘,
1205,韁,ㄐ丨ㄤ,脫韁之馬、韁繩,ㄍㄤ併讀為ㄐ丨ㄤ。
1206,音,丨ㄣ,口音、靜候佳音、聲音,
1207,頁,丨ㄝˋ,活頁、頁碼,
1208,頃,ㄑ丨ㄥˇ,公頃、頃刻,
1209,頓,"1.ㄉㄨㄣˋ
2.ㄉㄨˊ（限讀）","1.頓首、頓悟、整頓、一頓飯
2.冒頓（ㄇㄛˋ ㄉㄨˊ，漢初
匈奴的單于）",
1210,頌,ㄙㄨㄥˋ,歌頌、頌詞,
1211,頗,ㄆㄛˇ,頗佳、頗為可觀、偏頗,ㄆㄛ併讀為ㄆㄛˇ。
1212,頡,"1.ㄐ丨ㄝˊ
2.ㄒ丨ㄝˊ","1.盜頡資糧、倉頡（人名）
2.頡頏（ㄏㄤˊ）",
1213,頦,"1.ㄎㄜ語
2.ㄏㄞˊ讀","1.下巴頦兒
2.下頦",
1214,頸,"1.ㄐ丨ㄥˇ
2.ㄍㄥˇ（限讀）","1.瓶頸、頸項
2.脖頸子",
1215,頭,"1.ㄊㄡˊ
2.˙ㄊㄡ","1.白頭偕老、百尺竿頭、回頭
2.指頭、石頭",
1216,顆,ㄎㄜ,顆粒、一顆糖果,
1217,額,ㄜˊ,匾額、名額、額頭,
1218,顫,ㄓㄢˋ,膽顫心驚、冷顫、顫抖,ㄔㄢˋ併讀為ㄓㄢˋ。
流水號,國字,審定音,詞語例或說明,備注
,,,,
1219,風,"1.ㄈㄥ
2.ㄈㄥˋ","1.風波、風馬牛不相及、風度
、風乾、風寒、風聞、通風
報信、校風、微風
2.春風（ㄈㄥ）風人",作動詞吹義時，音ㄈㄥˋ。
1220,食,"1.ㄕˊ
2.ㄙˋ
3.丨ˋ（限讀）","1.伙食、食物
2.簞食、以餅食人
3.酈食其（ㄌ丨ˋ 丨ˋ ㄐ丨
，人名）",
1221,飩,ㄉㄨㄣˋ,餛飩,ㄊㄨㄣˊ併讀為ㄉㄨㄣˋ。
1222,飲,"1.丨ㄣˇ
2.丨ㄣˋ","1.暢飲、飲恨、飲食
2.飲馬、「酌而飲寡人。」（
《禮記》）",作使役動詞用，音丨ㄣˋ。
1223,養,"1.丨ㄤˇ
2.丨ㄤˋ","1.撫養小孩、養蘭、養雞鴨、
養育
2.奉養；「烏鳥私情，願乞終
養。」（三國蜀．李密〈陳
情表〉）",對父母之侍奉，音丨ㄤˋ。
1224,餚,丨ㄠˊ,佳餚、菜餚,ㄒ丨ㄠˊ併讀為丨ㄠˊ。
1225,餾,ㄌ丨ㄡˋ,乾餾、精餾、蒸餾,ㄌ丨ㄡˊ併讀為ㄌ丨ㄡˋ。
1226,馨,ㄒ丨ㄣ,康乃馨、清馨、馨香,ㄒ丨ㄥ併讀為ㄒ丨ㄣ。
1227,馮,"1.ㄆ丨ㄥˊ
2.ㄈㄥˊ","1.暴虎馮河、馮虛御風
2.姓（如明代有馮夢龍）。",
1228,馱,"1.ㄉㄨㄛˋ
2.ㄊㄨㄛˊ","1.馱子、騾馱子
2.馱運","作名詞義時，音ㄉㄨㄛˋ；作動
詞義時，音ㄊㄨㄛˊ。"
1229,馴,ㄒㄩㄣˊ,馴服、馴良、溫馴,
1230,騎,"1.ㄐ丨ˋ
2.ㄑ丨ˊ","1.驃騎、輕騎
2.騎兵、騎馬、騎樓、騎車","作名詞時，音ㄐ丨ˋ，多見於文
言。"
1231,騫,ㄑ丨ㄢ,"騫騰、張騫（人名）、「如南
山之壽，不騫不崩。」（《詩
經》）",
流水號,國字,審定音,詞語例或說明,備注
,,,,
1232,驁,ㄠˊ,桀驁不遜、驁放,ㄠˋ併讀為ㄠˊ。
1233,驏,ㄓㄢˋ,"「易驏馬而遁。」（《清史稿
》）",ㄔㄢˇ併讀為ㄓㄢˋ。
1234,骨,"1.ㄍㄨ
2.ㄍㄨˇ
3.ㄍㄨˊ（限讀）","1.骨朵兒、骨碌
2.骨骼、骨肉、傘骨
3.骨頭（˙ㄊㄡ）",
1235,骯,ㄤ,骯髒,
1236,髒,ㄗㄤ,"骯髒、髒話、髒錢；「別髒了
我的手。」",
1237,髻,ㄐ丨ˋ,包髻、髮髻,
1238,鬲,"1.ㄌ丨ˋ
2.ㄍㄜˊ","1.「鬲，鼎屬也。」（《說文
》）
2.鬲咽、鬲俞（穴道名）、有
鬲（古國名）",
1239,鬻,ㄩˋ,賣官鬻爵、炫鬻,
1240,魄,"1.ㄆㄛˋ
2.ㄊㄨㄛˋ（限讀）","1.體魄、魂魄、失魂落魄
2.落魄（同「落拓」）",
1241,魏,ㄨㄟˋ,"魏國；姓（如明代有魏忠賢）
。",
1242,魟,"1.ㄏㄨㄥ
2.ㄍㄨㄥ","1.魟魚
2.「 」之異體字。",
1243,鮮,"1.ㄒ丨ㄢ
2.ㄒ丨ㄢˇ","1.海鮮、新鮮、朝鮮、數（ㄕ
ㄨㄛˋ）見不鮮
2.鮮少、鮮有、「故君子之道
鮮矣。」（《易經》）",
1244,鮭,"1.ㄍㄨㄟ
2.ㄒ丨ㄝˊ（限讀）","1.鮭魚
2.「粗餐豈復須鮭菜。」（宋
． 陸游〈北窗即事〉詩）",
1245,鯈,ㄔㄡˊ,鯈魚,丨ㄡˊ併讀為ㄔㄡˊ。
1246,鯖,ㄑ丨ㄥ,鯖魚,
流水號,國字,審定音,詞語例或說明,備注
,,,,
1247,鰓,"1.ㄒ丨ˇ
2.ㄙㄞ","1.鰓鰓
2.魚鰓",
1248,鱖,ㄍㄨㄟˋ,鱖魚,ㄐㄩㄝˊ併讀為ㄍㄨㄟˋ。
1249,鱣,"1.ㄓㄢ
2.ㄕㄢˋ","1.鱣魚
2.鱣堂",
1250,鳥,ㄋ丨ㄠˇ,鳥類、鳥瞰、鳥獸散,
1251,鴝,"1.ㄍㄡ
2.ㄑㄩˊ","1.鴝鵅（ㄍㄜˊ）
2.紅尾鴝、鴝鵒（ㄩˋ）",
1252,鵠,"1.ㄍㄨˇ
2.ㄏㄨˊ","1.鵠的（ㄉ丨ˋ）、正（ㄓㄥ
）鵠
2.鵠髮、鵠立、鴻鵠",
1253,鵲,ㄑㄩㄝˋ,喜鵲、鴉鵲無聲,ㄑ丨ㄠˇ併讀為ㄑㄩㄝˋ。
1254,鶩,ㄨˋ,雞鶩、趨之若鶩,ㄇㄨˋ併讀為ㄨˋ。
1255,鶴,ㄏㄜˋ,丹頂鶴、鶴髮童顏、鶴立,ㄏㄠˊ併讀為ㄏㄜˋ。
1256,鹽,"1.丨ㄢˊ
2.丨ㄢˋ","1.海鹽、柴米油鹽
2.「布牛肉焉，屑桂與薑，以
灑諸上而鹽之。」（《禮記
》）",
1257,麗,"1.ㄌ丨ˊ
2.ㄌ丨ˋ","1.高麗
2.保麗龍、美麗、富麗堂皇、
華麗、麗馬（同「儷馬」）",
1258,麥,ㄇㄞˋ,麥片、麥克風、小麥,ㄇㄛˋ併讀為ㄇㄞˋ。
1259,麼,"1.ㄇㄛˊ
2.ㄇㄚˊ（限讀）
3.˙ㄇㄜ（限讀）","1.麼些（ㄙㄨㄛ）
2.幹麼
3.甚麼","表停頓語氣之˙ㄇㄚ，今多作「
嘛」，罕用此字，故不取為審定
音。"
1260,黑,ㄏㄟ,"黑白、黑名單、黑道、黑心、
黑暗",ㄏㄜˋ、ㄏㄟˇ併讀為ㄏㄟ。
1261,齊,"1.ㄐ丨ˋ
2.ㄑ丨ˊ","1.火齊
2.舉案齊眉、齊備、齊家、齊
唱、整齊；姓（如明代有齊",
流水號,國字,審定音,詞語例或說明,備注
,,,,
,,3.ㄗ,"德成）。
3.齊衰（ㄘㄨㄟ）",
1262,齦,丨ㄣˊ,牙齦,
1263,龜,"1.ㄍㄨㄟ
2.ㄐㄩㄣ
3.ㄑ丨ㄡ（限讀）","1.龜貝、龜殼花、烏龜
2.龜裂、「宋人有善為不龜手
之藥者。」（《莊子》）
3.龜茲（ㄑ丨ㄡ ㄘˊ，古國
名）",
